,Time (s),J (nA/cm2),bkg,J-bkg
196,109.05770520000078,5196.893181818182,5194.731163240048,2.1620185781339387
197,109.70213200000035,5196.777272727273,5194.532000980822,2.2452717464511807
198,110.32868690000032,5196.609090909091,5194.33338208413,2.2757088249609296
199,110.97717960000043,5196.41590909091,5194.135292334562,2.2806167563476265
200,111.61860940000042,5196.327272727273,5193.937717588673,2.3895551386003717
201,112.25468799999908,5196.256818181819,5193.740643775134,2.516174406684513
202,112.88922199999979,5195.963636363636,5193.544056898185,2.419579465451534
203,113.53051720000076,5195.829545454546,5193.34794304163,2.4816024129158905
204,114.18205830000079,5195.768181818182,5193.15228836579,2.6158934523919015
205,114.8244283999993,5195.570454545455,5192.957079109459,2.6133754359952945
206,115.47691560000021,5195.4340909090915,5192.762301594157,2.671789314934358
207,116.13080199999968,5195.325,5192.567942224041,2.757057775958856
208,116.7698130000008,5195.170454545455,5192.373987487761,2.796467057693917
209,117.41196099999979,5194.906818181818,5192.180423961148,2.726394220670045
210,118.05437060000077,5194.9454545454555,5191.987238308468,2.958216236987937
211,118.70208169999933,5194.770454545455,5191.794417280198,2.9760372652572187
212,119.35204289999999,5194.459090909091,5191.601947720365,2.857143188725786
213,120.04423409999981,5194.511363636364,5191.409816567106,3.101547069258231
214,120.68590629999926,5195.663636363636,5191.2180108489065,4.445625514729727
215,121.3291795999994,5194.179545454545,5191.026517692333,3.153027762212332
216,121.97411920000013,5194.322727272728,5190.835324364534,3.4874029081938716
217,122.63914160000058,5193.918181818182,5190.6444182323685,3.2737635858138674
218,123.29468090000046,5210.656818181818,5190.453786772975,20.203031408843344
219,123.97560720000001,5228.375000000001,5190.263417567018,38.111582432982686
220,124.62299109999913,5222.922727272728,5190.07329883404,32.84942843868794
221,125.29920759999914,5220.915909090909,5189.883419998773,31.03248909213562
222,125.95589280000058,5219.722727272728,5189.693771524744,30.028955747983673
223,126.61556820000078,5219.061363636364,5189.504344856809,29.55701877955471
224,127.27262680000058,5218.163636363636,5189.315132389424,28.84850397421178
225,127.93398709999929,5217.243181818182,5189.126127451718,28.11705436646389
226,128.60702599999968,5216.777272727273,5188.937324285091,27.839948442182504
227,129.26056249999965,5216.140909090909,5188.7487180200815,27.39219107082772
228,129.9172665999995,5215.725,5188.560304667604,27.16469533239615
229,130.58036549999997,5215.163636363636,5188.372081104794,26.79155525884198
230,131.27693030000046,5214.515909090909,5188.184045067807,26.331864023101843
231,131.93229749999955,5214.1954545454555,5187.996195140022,26.199259405433622
232,132.5932716999996,5214.088636363636,5187.808530737505,26.280105626131444
233,133.25586099999964,5213.6,5187.621052104816,25.97894789518432
234,133.9195748000002,5212.993181818182,5187.433760317565,25.559421500616736
235,134.58180429999993,5213.177272727273,5187.246657272889,25.93061545438377
236,135.24175339999965,5212.434090909091,5187.059745676181,25.374345232909945
237,135.9134995000004,5212.031818181818,5186.873029052835,25.1587891289837
238,136.57290079999984,5211.981818181818,5186.6865117306525,25.295306451165743
239,137.23433359999945,5211.161363636364,5186.500198833026,24.66116480333767
240,137.91246300000057,5210.997727272728,5186.314096283254,24.683630989474295
241,138.57608699999946,5210.861363636364,5186.128210784491,24.733152851873456
242,139.24775469999986,5210.586363636365,5185.942549820459,24.64381381590556
243,139.9132499999996,5210.484090909092,5185.7571216570095,24.7269692520822
244,140.57702869999957,5210.202272727273,5185.571935339301,24.63033738797276
245,141.2417903000005,5210.036363636364,5185.3870006944235,24.649362941940126
246,141.9140554000005,5209.634090909091,5185.20232832835,24.431762580741633
247,142.58406800000012,5209.01590909091,5185.017929626534,23.99797946437593
248,143.2551956999996,5209.122727272727,5184.833816747032,24.288910525695428
249,143.9246063999999,5208.868181818182,5184.65000260678,24.218179211402457
250,144.6005857,5208.700000000001,5184.466500890797,24.233499109203876
251,145.27471949999926,5208.318181818183,5184.283326049948,24.034855768234593
252,145.94356049999988,5208.081818181819,5184.100493301428,23.981324880390275
253,146.61840739999934,5207.772727272728,5183.918018622481,23.85470865024672
254,147.31433579999975,5207.325,5183.735918748707,23.589081251292555
255,147.9950446999992,5207.375,5183.554211170059,23.820788829941193
256,148.6777648999996,5207.063636363637,5183.37291412244,23.690722241196454
257,149.36752709999928,5207.443181818182,5183.192046595038,24.251135223144047
258,150.06014180000057,5206.902272727273,5183.011628326201,23.890644401071768
259,150.7477046999993,5206.734090909091,5182.831679821169,23.90241108792179
260,151.43458400000057,5206.147727272728,5182.652222340668,23.495504932059703
261,152.11833950000073,5206.129545454546,5182.473277901287,23.656267553259568
262,152.80020680000052,5205.704545454546,5182.294869262604,23.4096761919418
263,153.48618390000047,5205.645454545455,5182.117019932279,23.528434613176614
264,154.17019190000065,5176.11590909091,5181.939754158246,-5.823845067336151
265,154.8429268,5178.315909090909,5181.7630969324755,-3.4471878415661195
266,155.52364859999943,5179.427272727273,5181.587055014488,-2.159782287215421
267,156.20025329999953,5180.063636363637,5181.411624371851,-1.347988008214088
